SOC(%),SOC,OCV(V)
0.0,0.0,3.259
1.0,0.01,3.3161810807730303
2.0,0.02,3.3668410035615857
3.0,0.03,3.4116762218005245
4.0,0.04,3.451321768298742
5.0,0.05,3.486355281686719
6.0,0.06,3.517300863893175
7.000000000000001,0.07,3.5446327720245376
8.0,0.08,3.5687789480209613
9.0,0.09,3.59012438946262
10.0,0.1,3.6090143649
11.0,0.11,3.6257574770819163
12.0,0.12,3.6406285774549807
13.0,0.13,3.653871535308244
14.000000000000002,0.14,3.665701864936739
15.0,0.15,3.6763092141976563
16.0,0.16,3.685859717832868
17.0,0.17,3.6944982189315283
18.0,0.18,3.7023503619064844
19.0,0.19,3.70952456035821
20.0,0.2,3.7161138431999987
21.0,0.21,3.7221975824181404
22.0,0.22,3.7278431058407917
23.0,0.23,3.7331071982892965
24.0,0.24,3.738037494485647
25.0,0.25,3.7426737670898436
26.0,0.26,3.7470491132408483
27.0,0.27,3.7511910429748836
28.000000000000004,0.28,3.7551224728947923
28.999999999999996,0.29,3.758862628464162
30.0,0.3,3.762427858299999
31.0,0.31,3.7658323638376037
32.0,0.32,3.7690888477414197
33.0,0.33,3.7722090844355822
34.0,0.34,3.7752044161278655
35.0,0.35000000000000003,3.7780861777007804
36.0,0.36,3.7808660538435177
37.0,0.37,3.7835563717985075
38.0,0.38,3.7861703330962824
39.0,0.39,3.7887221876523745
40.0,0.4,3.7912273536
41.0,0.41000000000000003,3.793702486232201
42.0,0.42,3.7961654994272642
43.0,0.43,3.798635542931003
44.0,0.44,3.801132938869801
45.0,0.45,3.8036790808679695
46.0,0.46,3.8062962991432725
47.0,0.47000000000000003,3.8090076949542935
48.0,0.48,3.8118369477733562
49.0,0.49,3.814808098558753
50.0,0.5,3.817945312499999
51.0,0.51,3.821272624609845
52.0,0.52,3.824813671536717
53.0,0.53,3.828591412971452
54.0,0.54,3.832627846021845
55.00000000000001,0.55,3.836943715928905
56.00000000000001,0.56,3.8415582264985177
57.00000000000001,0.5700000000000001,3.846488753622144
57.99999999999999,0.58,3.851750565260412
59.0,0.59,3.8573565512631944
60.0,0.6,3.8633169663999922
61.0,0.61,3.8696391899744187
62.0,0.62,3.8763275053961954
63.0,0.63,3.8833829030848395
64.0,0.64,3.890802910078402
65.0,0.65,3.8985814497210836
66.0,0.66,3.906708734803646
67.0,0.67,3.9151711975299603
68.0,0.68,3.9239514596838463
69.0,0.6900000000000001,3.9330283463696043
70.0,0.7000000000000001,3.942376946699996
71.0,0.71,3.951968724805827
72.0,0.72,3.961771684540092
73.0,0.73,3.97175059125109
74.0,0.74,3.9818672539978657
75.0,0.75,3.992080871582033
76.0,0.76,4.002348445769073
77.0,0.77,4.012625265073645
78.0,0.78,4.022865462482072
79.0,0.79,4.033022650485835
80.0,0.8,4.043050636799991
81.0,0.81,4.052904224139963
82.0,0.8200000000000001,4.0625400974308015
83.0,0.8300000000000001,4.071917801822064
84.0,0.84,4.0810008148826675
85.0,0.85,4.089757716349229
86.0,0.86,4.09816345880116
87.0,0.87,4.106200742637132
88.0,0.88,4.113861498725488
89.0,0.89,4.121148482103894
90.0,0.9,4.128076980100026
91.0,0.91,4.134676638248791
92.0,0.92,4.140993407378716
93.0,0.93,4.147091615241614
94.0,0.9400000000000001,4.153056166059102
95.0,0.9500000000000001,4.158994871360143
96.0,0.96,4.165040915482365
97.0,0.97,4.171355459112242
98.0,0.98,4.178130384236525
99.0,0.99,4.185591183879502
100.0,1.0,4.193999999999988
